,filename,outsideShape,factor,bitPerPart,radius,psnr
137,20-20-21-128-1.png,"(20, 20)",21,128,1,41.60210849958567
138,20-20-31-4-1.png,"(20, 20)",31,4,1,41.93074266523986
139,20-20-31-8-1.png,"(20, 20)",31,8,1,41.75814882928118
140,20-20-31-16-1.png,"(20, 20)",31,16,1,41.733908996481055
141,20-20-31-32-1.png,"(20, 20)",31,32,1,41.68888310868802
142,20-20-31-64-1.png,"(20, 20)",31,64,1,41.753884412976284
143,20-20-31-128-1.png,"(20, 20)",31,128,1,41.63504167381095
144,20-20-41-4-1.png,"(20, 20)",41,4,1,41.840956470131346
145,20-20-41-8-1.png,"(20, 20)",41,8,1,41.7073248430748
146,20-20-41-16-1.png,"(20, 20)",41,16,1,41.695858608759295
147,20-20-41-32-1.png,"(20, 20)",41,32,1,41.638236286327924
148,20-20-41-64-1.png,"(20, 20)",41,64,1,41.68195183305257
149,20-20-41-128-1.png,"(20, 20)",41,128,1,41.6165452933283
150,20-20-51-4-1.png,"(20, 20)",51,4,1,41.7353753816115
151,20-20-51-8-1.png,"(20, 20)",51,8,1,41.644309979737685
152,20-20-51-16-1.png,"(20, 20)",51,16,1,41.629634055982706
153,20-20-51-32-1.png,"(20, 20)",51,32,1,41.594426799163
154,20-20-51-64-1.png,"(20, 20)",51,64,1,41.645928129102344
155,20-20-51-128-1.png,"(20, 20)",51,128,1,41.55086177248957
156,20-20-61-4-1.png,"(20, 20)",61,4,1,41.73985735141763
157,20-20-61-8-1.png,"(20, 20)",61,8,1,41.65143676075904
158,20-20-61-16-1.png,"(20, 20)",61,16,1,41.65077879080776
159,20-20-61-32-1.png,"(20, 20)",61,32,1,41.59928877797837
160,20-20-61-64-1.png,"(20, 20)",61,64,1,41.64603423299913
161,20-20-61-128-1.png,"(20, 20)",61,128,1,41.5813407821043
162,20-20-71-4-1.png,"(20, 20)",71,4,1,41.748052505693494
163,20-20-71-8-1.png,"(20, 20)",71,8,1,41.6454648797727
164,20-20-71-16-1.png,"(20, 20)",71,16,1,41.638187265479836
165,20-20-71-32-1.png,"(20, 20)",71,32,1,41.583905122565135
166,20-20-71-64-1.png,"(20, 20)",71,64,1,41.65577356871146
167,20-20-71-128-1.png,"(20, 20)",71,128,1,41.5940517592584
168,20-20-81-4-1.png,"(20, 20)",81,4,1,41.68654294887125
169,20-20-81-8-1.png,"(20, 20)",81,8,1,41.599554306014156
170,20-20-81-16-1.png,"(20, 20)",81,16,1,41.638294316689475
171,20-20-81-32-1.png,"(20, 20)",81,32,1,41.54822814462364
172,20-20-81-64-1.png,"(20, 20)",81,64,1,41.619216245841464
173,20-20-81-128-1.png,"(20, 20)",81,128,1,41.54270652213747
174,20-20-91-4-1.png,"(20, 20)",91,4,1,41.71305116700452
175,20-20-91-8-1.png,"(20, 20)",91,8,1,41.62278255312203
176,20-20-91-16-1.png,"(20, 20)",91,16,1,41.61821428456481
177,20-20-91-32-1.png,"(20, 20)",91,32,1,41.53991985660898
178,20-20-91-64-1.png,"(20, 20)",91,64,1,41.59970923838418
179,20-20-91-128-1.png,"(20, 20)",91,128,1,41.55390660096021
180,20-20-1-4-3.png,"(20, 20)",1,4,3,49.740071522904344
