,filename,outsideShape,factor,bitPerPart,radius,psnr
151,20-20-30-8-1.png,"(20, 20)",30,8,1,41.752622827833584
152,20-20-30-16-1.png,"(20, 20)",30,16,1,41.7300065812697
153,20-20-30-32-1.png,"(20, 20)",30,32,1,41.68760956123276
154,20-20-30-64-1.png,"(20, 20)",30,64,1,41.729471533132426
155,20-20-30-128-1.png,"(20, 20)",30,128,1,41.641432032181015
156,20-20-40-4-1.png,"(20, 20)",40,4,1,41.851293522458725
157,20-20-40-8-1.png,"(20, 20)",40,8,1,41.69877928181252
158,20-20-40-16-1.png,"(20, 20)",40,16,1,41.69268322813345
159,20-20-40-32-1.png,"(20, 20)",40,32,1,41.64353395995236
160,20-20-40-64-1.png,"(20, 20)",40,64,1,41.69021493662826
161,20-20-40-128-1.png,"(20, 20)",40,128,1,41.61511508980296
162,20-20-50-4-1.png,"(20, 20)",50,4,1,41.74491726742323
163,20-20-50-8-1.png,"(20, 20)",50,8,1,41.66223443561016
164,20-20-50-16-1.png,"(20, 20)",50,16,1,41.64742764615067
165,20-20-50-32-1.png,"(20, 20)",50,32,1,41.58874152843196
166,20-20-50-64-1.png,"(20, 20)",50,64,1,41.64003518222298
167,20-20-50-128-1.png,"(20, 20)",50,128,1,41.56726283322022
168,20-20-60-4-1.png,"(20, 20)",60,4,1,41.74810602883597
169,20-20-60-8-1.png,"(20, 20)",60,8,1,41.64120608249834
170,20-20-60-16-1.png,"(20, 20)",60,16,1,41.665307260816185
171,20-20-60-32-1.png,"(20, 20)",60,32,1,41.59382906451211
172,20-20-60-64-1.png,"(20, 20)",60,64,1,41.65347683256151
173,20-20-60-128-1.png,"(20, 20)",60,128,1,41.58734708181627
174,20-20-70-4-1.png,"(20, 20)",70,4,1,41.74799715197095
175,20-20-70-8-1.png,"(20, 20)",70,8,1,41.64607797620317
176,20-20-70-16-1.png,"(20, 20)",70,16,1,41.65285137141841
177,20-20-70-32-1.png,"(20, 20)",70,32,1,41.58260325191215
178,20-20-70-64-1.png,"(20, 20)",70,64,1,41.659092832636375
179,20-20-70-128-1.png,"(20, 20)",70,128,1,41.581739961051625
180,20-20-80-4-1.png,"(20, 20)",80,4,1,41.69489439526525
181,20-20-80-8-1.png,"(20, 20)",80,8,1,41.59757469896789
182,20-20-80-16-1.png,"(20, 20)",80,16,1,41.63528960702315
183,20-20-80-32-1.png,"(20, 20)",80,32,1,41.550340947863305
184,20-20-80-64-1.png,"(20, 20)",80,64,1,41.62985608321583
185,20-20-80-128-1.png,"(20, 20)",80,128,1,41.548885785692065
186,20-20-90-4-1.png,"(20, 20)",90,4,1,41.70049442639442
187,20-20-90-8-1.png,"(20, 20)",90,8,1,41.61656087935164
188,20-20-90-16-1.png,"(20, 20)",90,16,1,41.623093195569254
189,20-20-90-32-1.png,"(20, 20)",90,32,1,41.558757987741316
190,20-20-90-64-1.png,"(20, 20)",90,64,1,41.61897302618903
191,20-20-90-128-1.png,"(20, 20)",90,128,1,41.55536902055525
192,20-20-100-4-1.png,"(20, 20)",100,4,1,41.703015195874826
193,20-20-100-8-1.png,"(20, 20)",100,8,1,41.60950669551881
194,20-20-100-16-1.png,"(20, 20)",100,16,1,41.64447033706361
195,20-20-100-32-1.png,"(20, 20)",100,32,1,41.5419710687887
196,20-20-100-64-1.png,"(20, 20)",100,64,1,41.61399970780337
197,20-20-100-128-1.png,"(20, 20)",100,128,1,41.57561516548472
198,20-20-1-4-3.png,"(20, 20)",1,4,3,49.740071522904344
199,20-20-1-8-3.png,"(20, 20)",1,8,3,45.53929841470313
200,20-20-1-16-3.png,"(20, 20)",1,16,3,43.492733811525994
201,20-20-1-32-3.png,"(20, 20)",1,32,3,42.99763645949575
202,20-20-1-64-3.png,"(20, 20)",1,64,3,42.99120864516239
203,20-20-1-128-3.png,"(20, 20)",1,128,3,42.99788652860403
204,20-20-10-4-3.png,"(20, 20)",10,4,3,44.7803381378523
205,20-20-10-8-3.png,"(20, 20)",10,8,3,42.826799492756955
206,20-20-10-16-3.png,"(20, 20)",10,16,3,41.69864003218929
207,20-20-10-32-3.png,"(20, 20)",10,32,3,41.57100543403946
208,20-20-10-64-3.png,"(20, 20)",10,64,3,41.57308073879969
209,20-20-10-128-3.png,"(20, 20)",10,128,3,41.53680473419024
210,20-20-20-4-3.png,"(20, 20)",20,4,3,43.70194512550108
211,20-20-20-8-3.png,"(20, 20)",20,8,3,42.33138456577656
212,20-20-20-16-3.png,"(20, 20)",20,16,3,41.5487227971802
213,20-20-20-32-3.png,"(20, 20)",20,32,3,41.50357667549039
214,20-20-20-64-3.png,"(20, 20)",20,64,3,41.50732123500835
215,20-20-20-128-3.png,"(20, 20)",20,128,3,41.47151214018473
216,20-20-30-4-3.png,"(20, 20)",30,4,3,43.15734287169123
217,20-20-30-8-3.png,"(20, 20)",30,8,3,42.18043082034704
