,filename,outsideShape,factor,bitPerPart,radius,psnr,robustCheck,fragileRedCheck,fragileGreenCheck,fragileBlueCheck
1483,200-200-50-8-21.png,"(200, 200)",50,8,21,35.16564272897264,0.9513888888888888,1.0,1.0,1.0
1478,200-200-40-16-21.png,"(200, 200)",40,16,21,35.330417758549274,0.9513888888888888,1.0,1.0,1.0
1832,250-250-80-16-26.png,"(250, 250)",80,16,26,33.38105516741196,0.9508928571428572,1.0,1.0,1.0
1831,250-250-80-8-26.png,"(250, 250)",80,8,26,33.57476202995904,0.9508928571428572,1.0,1.0,1.0
1796,250-250-20-16-26.png,"(250, 250)",20,16,26,36.87351525717128,0.9508928571428572,1.0,1.0,1.0
1897,250-250-80-8-51.png,"(250, 250)",80,8,51,35.38577401972722,0.9508928571428572,1.0,1.0,1.0
1202,100-100-20-16-21.png,"(100, 100)",20,16,21,41.27954869448327,0.950657894736842,1.0,1.0,1.0
2260,500-500-20-64-151.png,"(500, 500)",20,64,151,43.32710614830464,0.9505208333333334,1.0,1.0,1.0
1876,250-250-40-64-51.png,"(250, 250)",40,64,51,35.30611204953896,0.9503348214285714,1.0,1.0,1.0
1900,250-250-80-64-51.png,"(250, 250)",80,64,51,33.506771664419325,0.9497767857142856,1.0,1.0,1.0
1568,200-200-80-16-41.png,"(200, 200)",80,16,41,35.57762912632531,0.9496527777777778,1.0,1.0,1.0
1604,200-200-30-16-61.png,"(200, 200)",30,16,61,43.64168752688855,0.9496527777777778,1.0,1.0,1.0
1569,200-200-80-32-41.png,"(200, 200)",80,32,41,34.97082607118902,0.9487847222222222,1.0,1.0,1.0
1869,250-250-30-32-51.png,"(250, 250)",30,32,51,37.91373691067277,0.9486607142857144,1.0,1.0,1.0
1976,250-250-100-16-76.png,"(250, 250)",100,16,76,36.11197383117864,0.9486607142857144,1.0,1.0,1.0
1954,250-250-60-64-76.png,"(250, 250)",60,64,76,36.38782449741249,0.9486607142857144,1.0,1.0,1.0
1838,250-250-90-16-26.png,"(250, 250)",90,16,26,33.21542582313331,0.9486607142857144,1.0,1.0,1.0
2204,500-500-40-16-101.png,"(500, 500)",40,16,101,38.11804037122044,0.9479166666666666,1.0,1.0,1.0
1581,200-200-100-32-41.png,"(200, 200)",100,32,41,34.51975731187258,0.9479166666666666,1.0,1.0,1.0
